,colname,value
30,property_type_Boat,0.795542232
102,neighbourhood_cleansed_PioneerSquare,0.595681973
116,neighbourhood_cleansed_SunsetHill,0.388970044
25,room_type_Entirehome_apt,0.376893838
112,neighbourhood_cleansed_SouthLakeUnion,0.364175663
56,neighbourhood_cleansed_CentralBusinessDistrict,0.292333205
100,neighbourhood_cleansed_Pike_Market,0.271015265
80,neighbourhood_cleansed_LowerQueenAnne,0.27002312
127,neighbourhood_cleansed_YeslerTerrace,0.268456239
64,neighbourhood_cleansed_FirstHill,0.253692558
76,neighbourhood_cleansed_InternationalDistrict,0.251313622
48,neighbourhood_cleansed_Belltown,0.232601221
60,neighbourhood_cleansed_EastQueenAnne,0.227167997
103,neighbourhood_cleansed_PortageBay,0.187649363
114,neighbourhood_cleansed_SoutheastMagnolia,0.171271879
82,neighbourhood_cleansed_MadisonPark,0.164713447
122,neighbourhood_cleansed_WestQueenAnne,0.154053446
53,neighbourhood_cleansed_Broadway,0.144485579
38,property_type_Loft,0.139262844
4,bedrooms,0.135918112
92,neighbourhood_cleansed_NorthAdmiral,0.119883024
34,property_type_Chalet,0.112413732
115,neighbourhood_cleansed_Stevens,0.105292224
77,neighbourhood_cleansed_Laurelhurst,0.104849327
63,neighbourhood_cleansed_Fauntleroy,0.097819305
124,neighbourhood_cleansed_Westlake,0.093550129
90,neighbourhood_cleansed_Montlake,0.088749595
128,host_response_time_afewdaysormore,0.088023798
69,neighbourhood_cleansed_GreenLake,0.087010252
55,neighbourhood_cleansed_CedarPark,0.086116345
108,neighbourhood_cleansed_Seaview,0.085810037
45,neighbourhood_cleansed_Alki,0.08541289
31,property_type_Bungalow,0.079496492
89,neighbourhood_cleansed_Minor,0.079490242
3,bathrooms,0.078889371
65,neighbourhood_cleansed_Fremont,0.078212801
24,bed_type_RealBed,0.072031276
72,neighbourhood_cleansed_Harrison_Denny_Blaine,0.063959759
43,host_is_superhost_t,0.058437649
94,neighbourhood_cleansed_NorthBeaconHill,-0.057785065
42,host_is_superhost_f,-0.058437649
87,neighbourhood_cleansed_Meadowbrook,-0.060293647
75,neighbourhood_cleansed_Interbay,-0.06555761
113,neighbourhood_cleansed_SouthPark,-0.066108265
17,review_scores_value,-0.066353598
35,property_type_Condominium,-0.068386033
131,host_response_time_withinanhour,-0.068427033
62,neighbourhood_cleansed_FairmountPark,-0.073929226
79,neighbourhood_cleansed_Leschi,-0.075520382
28,property_type_Apartment,-0.079940344
121,neighbourhood_cleansed_Wedgwood,-0.081107334
39,property_type_Other,-0.084461354
21,bed_type_Couch,-0.085106671
74,neighbourhood_cleansed_HighlandPark,-0.092815917
107,neighbourhood_cleansed_Roosevelt,-0.094355553
117,neighbourhood_cleansed_UniversityDistrict,-0.098521234
85,neighbourhood_cleansed_MapleLeaf,-0.100988928
70,neighbourhood_cleansed_Greenwood,-0.10130828
41,property_type_Yurt,-0.114007926
106,neighbourhood_cleansed_Riverview,-0.117127692
99,neighbourhood_cleansed_PhinneyRidge,-0.119555188
109,neighbourhood_cleansed_SewardPark,-0.119865729
46,neighbourhood_cleansed_ArborHeights,-0.12172164
58,neighbourhood_cleansed_CrownHill,-0.14063886
54,neighbourhood_cleansed_Bryant,-0.144486971
101,neighbourhood_cleansed_Pinehurst,-0.161721103
57,neighbourhood_cleansed_ColumbiaCity,-0.16660172
98,neighbourhood_cleansed_OlympicHills,-0.171847832
96,neighbourhood_cleansed_NorthDelridge,-0.188945027
88,neighbourhood_cleansed_Mid_BeaconHill,-0.189859326
105,neighbourhood_cleansed_Ravenna,-0.19196531
59,neighbourhood_cleansed_Dunlap,-0.197928942
33,property_type_Camper_RV,-0.219439909
111,neighbourhood_cleansed_SouthDelridge,-0.245312726
104,neighbourhood_cleansed_RainierBeach,-0.249793736
73,neighbourhood_cleansed_HighPoint,-0.255101071
118,neighbourhood_cleansed_VictoryHeights,-0.257870875
51,neighbourhood_cleansed_Brighton,-0.276084738
110,neighbourhood_cleansed_SouthBeaconHill,-0.28160373
27,room_type_Sharedroom,-0.356175435
49,neighbourhood_cleansed_BitterLake,-0.372757917
52,neighbourhood_cleansed_Broadview,-0.487978171
36,property_type_Dorm,-0.491515403
